model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,make
 I10,2017,"$7,495 ",Manual,11630,Petrol,145,60.1,1,hyundi
 Polo,2017,"$10,989 ",Manual,9200,Petrol,145,58.9,1,volkswagen
 2 Series,2019,"$27,990 ",Semi-Auto,1614,Diesel,145,49.6,2,BMW
 Yeti Outdoor,2017,"$12,495 ",Manual,30960,Diesel,150,62.8,2,skoda
 Fiesta,2017,"$7,999 ",Manual,19353,Petrol,125,54.3,1.2,ford
 C-HR,2019,"$26,791 ",Automatic,2373,Hybrid,135,74.3,1.8,toyota
 Kuga,2019,"$17,990 ",Manual,7038,Petrol,145,34.4,1.5,ford
 Tiguan,2019,"$27,490 ",Semi-Auto,3000,Petrol,145,30.4,2,volkswagen
 Fiesta,2018,"$9,891 ",Manual,31639,Petrol,145,65.7,1,ford
 A Class,2017,"$17,498 ",Manual,9663,Diesel,30,62.8,2.1,merc
 Kuga,2017,"$16,500 ",Semi-Auto,30000,Diesel,145,54.3,2,ford
 1 Series,2016,"$10,550 ",Manual,40313,Diesel,0,78.5,1.5,BMW
 Up,2017,"$7,990 ",Manual,9179,Petrol,145,64.2,1,volkswagen
 Golf,2019,"$11,980 ",Manual,14621,Petrol,145,49.6,1,volkswagen
 Corsa,2017,"$7,499 ",Manual,25000,Petrol,150,55.4,1.4,vauxhall
 RAV4,2016,"$20,790 ",Automatic,32196,Hybrid,20,55.4,2.5,toyota
 Fiesta,2017,"$10,490 ",Manual,16087,Petrol,0,65.7,1,ford
 GLA Class,2016,"$15,600 ",Automatic,42844,Diesel,30,64.2,2.1,merc
 Golf,2017,"$17,750 ",Manual,27125,Diesel,20,67.3,2,volkswagen
 Aygo,2016,"$7,130 ",Manual,23971,Petrol,0,69,1,toyota
 Q5,2020,"$37,000 ",Semi-Auto,1000,Diesel,145,38.2,2,Audi
 Fiesta,2017,"$12,750 ",Semi-Auto,12687,Petrol,145,54.3,1,ford
 Karoq,2019,"$21,490 ",Semi-Auto,4530,Diesel,145,47.1,1.6,skoda
 Scala,2019,"$15,490 ",Manual,5,Petrol,145,49.6,1,skoda
 Auris,2017,"$11,290 ",Manual,12890,Petrol,150,51.4,1.2,toyota
 Corsa,2018,"$8,499 ",Manual,7500,Petrol,145,55.4,1.4,vauxhall
 Corsa,2016,"$7,210 ",Manual,24277,Petrol,30,55.4,1.4,vauxhall
 Tucson,2017,"$12,998 ",Semi-Auto,41418,Diesel,125,57.6,1.7,hyundi
 A4,2017,"$18,182 ",Manual,18574,Petrol,145,51.4,1.4,Audi
 Viva,2016,"$6,520 ",Manual,20292,Petrol,20,62.8,1,vauxhall
 Fiesta,2018,"$10,500 ",Manual,13427,Petrol,145,65.7,1,ford
 Kodiaq,2017,"$19,495 ",Automatic,17323,Petrol,145,44.8,1.4,skoda
 C Class,2015,"$16,732 ",Automatic,33350,Diesel,30,64.2,2.1,merc
 Mondeo,2015,"$6,391 ",Manual,142000,Diesel,20,68.9,2,ford
 1 Series,2017,"$19,990 ",Automatic,24092,Petrol,145,39.8,3,BMW
 Mondeo,2016,"$10,695 ",Manual,44298,Diesel,0,74.3,1.5,ford
 Citigo,2018,"$8,490 ",Manual,15724,Petrol,145,68.9,1,skoda
 Tiguan,2014,"$14,191 ",Semi-Auto,51220,Diesel,205,47.1,2,volkswagen
 Kuga,2017,"$15,499 ",Manual,25942,Diesel,145,54.3,2,ford
 1 Series,2015,"$8,998 ",Manual,51342,Diesel,0,83.1,1.5,BMW
 Tucson,2018,"$14,938 ",Manual,8681,Petrol,145,44.8,1.6,hyundi
 A4,2020,"$29,000 ",Semi-Auto,20,Petrol,145,42.2,2,Audi
 Yaris,2018,"$10,495 ",Manual,25700,Petrol,145,56.5,1.5,toyota
 X4,2015,"$19,799 ",Automatic,51536,Diesel,200,47.9,3,BMW
 Yaris,2017,"$10,498 ",Manual,10440,Petrol,145,56.5,1.5,toyota
 Octavia,2019,"$14,998 ",Semi-Auto,15425,Diesel,145,70.6,1.6,skoda
 Astra,2017,"$10,498 ",Manual,38252,Diesel,145,76.3,1.6,vauxhall
 Focus,2015,"$9,498 ",Manual,22420,Diesel,0,74.3,1.5,ford
 3 Series,2019,"$27,480 ",Semi-Auto,11103,Diesel,145,52.3,2,BMW
 C Class,2019,"$28,887 ",Automatic,9985,Diesel,145,57.7,2,merc
 GLC Class,2018,"$20,850 ",Automatic,20000,Diesel,150,56.5,2.1,merc
 Up,2016,"$6,390 ",Manual,31912,Petrol,20,62.8,1,volkswagen
 Viva,2016,"$5,499 ",Manual,27527,Petrol,20,62.8,1,vauxhall
 Polo,2017,"$7,790 ",Manual,51376,Diesel,0,74.3,1.4,volkswagen
 Yaris,2018,"$13,480 ",Automatic,10403,Hybrid,135,76.3,1.5,toyota
 Fiesta,2017,"$8,500 ",Manual,31413,Petrol,145,65.7,1,ford
 Yaris,2016,"$11,462 ",Automatic,37547,Hybrid,0,86,1.5,toyota
 Q3,2016,"$18,505 ",Semi-Auto,31975,Diesel,160,50.4,2,Audi
 Tiguan,2017,"$17,490 ",Manual,31259,Diesel,125,58.9,2,volkswagen
 Karoq,2020,"$26,990 ",Manual,1601,Diesel,145,42.8,2,skoda
 B-MAX,2013,"$5,698 ",Manual,44901,Petrol,145,47.1,1.4,ford
 Astra,2019,"$12,998 ",Manual,13590,Petrol,150,51.4,1.4,vauxhall
 Polo,2019,"$20,990 ",Semi-Auto,1396,Petrol,145,39.8,2,volkswagen
 Golf,2017,"$13,998 ",Semi-Auto,20994,Petrol,30,53.3,1.4,volkswagen
 C Class,2019,"$29,699 ",Semi-Auto,5230,Diesel,145,61.4,2,merc
 C-MAX,2017,"$11,124 ",Manual,28249,Petrol,145,55.4,1,ford
 GLA Class,2019,"$22,980 ",Semi-Auto,11738,Diesel,145,67.3,2.1,merc
 Corsa,2008,"$1,750 ",Manual,84490,Diesel,30,62.8,1.2,vauxhall
 IX20,2015,"$7,498 ",Manual,34123,Petrol,125,50.4,1.4,hyundi
 Yaris,2016,"$11,300 ",Automatic,29931,Hybrid,0,86,1.5,toyota
 3 Series,2016,"$16,000 ",Automatic,51440,Diesel,165,49.6,3,BMW
 C Class,2017,"$17,480 ",Automatic,47019,Hybrid,0,134.5,2,merc
 X5,2016,"$41,211 ",Semi-Auto,46180,Petrol,570,25.4,4.4,BMW
 Focus,2019,"$18,250 ",Manual,4365,Petrol,145,47.9,1,ford
 Q3,2016,"$19,950 ",Semi-Auto,25111,Diesel,145,51.4,2,Audi
 Golf,2017,"$11,950 ",Manual,41674,Petrol,150,54.3,1.4,volkswagen
 T-Cross,2019,"$18,690 ",Manual,2500,Diesel,145,53.3,1.6,volkswagen
 Shuttle,2019,"$26,396 ",Semi-Auto,12746,Diesel,145,32.8,2,volkswagen
 Insignia,2015,"$8,291 ",Manual,30916,Petrol,235,38.6,1.8,vauxhall
 3 Series,2014,"$13,499 ",Automatic,61829,Diesel,125,57.6,3,BMW
 Zafira,2016,"$10,810 ",Manual,19731,Petrol,200,42.2,1.4,vauxhall
 I10,2018,"$7,500 ",Manual,7785,Petrol,145,60.1,1,hyundi
 Yaris,2015,"$6,498 ",Manual,46604,Diesel,0,80.7,1.4,toyota
 Fiesta,2016,"$7,300 ",Manual,48118,Petrol,0,65.7,1,ford
 A3,2015,"$12,700 ",Manual,55583,Diesel,20,68.9,2,Audi
 Corsa,2019,"$9,991 ",Manual,1895,Petrol,145,43.5,1.4,vauxhall
 Yaris,2017,"$10,995 ",Manual,21100,Petrol,145,56.5,1.5,toyota
 A5,2019,"$26,400 ",Automatic,7221,Diesel,145,51.4,2,Audi
 A4,2019,"$23,499 ",Manual,6001,Petrol,145,38.7,2,Audi
 SL CLASS,2017,"$20,498 ",Automatic,27474,Diesel,150,70.6,2.1,merc
